# file created by code in factory_simulation_2.jl
# file created on 2023-11-11 at 23:55:26
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
# parameter: std_machine_1 = 7.185832891717325
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
    2106.050,   178,Finish(2),before,   2,   2,   4,   1,   1
    2106.050,   178,Finish(2), after,   3,   2,   3,   1,   1
    2121.309,   180,Finish(1),before,   2,   2,   3,   1,   1
    2121.309,   180,Finish(1), after,   3,   1,   4,   1,   1
    2129.756,   182,Finish(2),before,   2,   1,   4,   1,   1
    2129.756,   182,Finish(2), after,   3,   1,   3,   1,   1
    2146.516,   184,Finish(1),before,   2,   1,   3,   1,   1
    2146.516,   184,Finish(1), after,   3,   0,   4,   1,   1
    2158.312,   186,Finish(2),before,   2,   0,   4,   1,   1
    2158.312,   186,Finish(2), after,   3,   0,   3,   1,   1
    2159.612,   175,  Arrival,before,   2,   0,   3,   1,   1
    2159.612,   175,  Arrival, after,   3,   1,   3,   1,   1
    2172.662,   188,Finish(1),before,   2,   1,   3,   1,   1
    2172.662,   188,Finish(1), after,   3,   0,   4,   1,   1
    2196.889,   193,Finish(1),before,   2,   0,   4,   1,   1
    2196.889,   193,Finish(1), after,   3,   0,   4,   1,   1
    2328.303,   190,Finish(2),before,   2,   0,   4,   1,   1
    2328.303,   190,Finish(2), after,   3,   0,   3,   1,   1
    2328.303,   193,Finish(1),before,   2,   0,   3,   1,   1
    2328.303,   193,Finish(1), after,   2,   0,   4,   0,   1
    2482.676,   191,  Arrival,before,   1,   0,   4,   0,   1
    2482.676,   191,  Arrival, after,   3,   0,   4,   1,   1
    2496.561,   198,  Arrival,before,   2,   0,   4,   1,   1
    2496.561,   198,  Arrival, after,   3,   1,   4,   1,   1
    2504.985,   196,Finish(2),before,   2,   1,   4,   1,   1
    2504.985,   196,Finish(2), after,   3,   1,   3,   1,   1
    2509.266,   199,Finish(1),before,   2,   1,   3,   1,   1
    2509.266,   199,Finish(1), after,   3,   0,   4,   1,   1
    2512.795,   200,  Arrival,before,   2,   0,   4,   1,   1
    2512.795,   200,  Arrival, after,   3,   1,   4,   1,   1
    2525.365,   204,Finish(1),before,   2,   1,   4,   1,   1
    2525.365,   204,Finish(1), after,   3,   1,   4,   1,   1
    2542.973,   205,  Arrival,before,   2,   1,   4,   1,   1
    2542.973,   205,  Arrival, after,   3,   2,   4,   1,   1
    2542.973,   204,Finish(1),before,   2,   2,   4,   1,   1
    2542.973,   204,Finish(1), after,   3,   2,   4,   1,   1
    2548.783,   207,  Arrival,before,   2,   2,   4,   1,   1
    2548.783,   207,  Arrival, after,   3,   3,   4,   1,   1
    2548.783,   204,Finish(1),before,   2,   3,   4,   1,   1
    2548.783,   204,Finish(1), after,   3,   3,   4,   1,   1
    2559.649,   209,  Arrival,before,   2,   3,   4,   1,   1
    2559.649,   209,  Arrival, after,   3,   4,   4,   1,   1
    2559.649,   204,Finish(1),before,   2,   4,   4,   1,   1
    2559.649,   204,Finish(1), after,   3,   4,   4,   1,   1
    2577.851,   211,  Arrival,before,   2,   4,   4,   1,   1
    2577.851,   211,  Arrival, after,   3,   5,   4,   1,   1
    2577.851,   204,Finish(1),before,   2,   5,   4,   1,   1
    2577.851,   204,Finish(1), after,   3,   5,   4,   1,   1
    2625.684,   202,Finish(2),before,   2,   5,   4,   1,   1
    2625.684,   202,Finish(2), after,   3,   5,   3,   1,   1
    2625.684,   204,Finish(1),before,   2,   5,   3,   1,   1
    2625.684,   204,Finish(1), after,   3,   4,   4,   1,   1
    2655.716,   216,Finish(2),before,   2,   4,   4,   1,   1
    2655.716,   216,Finish(2), after,   3,   4,   3,   1,   1
    2656.111,   218,Finish(1),before,   2,   4,   3,   1,   1
    2656.111,   218,Finish(1), after,   3,   3,   4,   1,   1
    2687.918,   222,Finish(1),before,   2,   3,   4,   1,   1
    2687.918,   222,Finish(1), after,   3,   3,   4,   1,   1
    2690.321,   220,Finish(2),before,   2,   3,   4,   1,   1
    2690.321,   220,Finish(2), after,   3,   3,   3,   1,   1
    2690.321,   222,Finish(1),before,   2,   3,   3,   1,   1
    2690.321,   222,Finish(1), after,   3,   2,   4,   1,   1
    2722.009,   227,Finish(1),before,   2,   2,   4,   1,   1
    2722.009,   227,Finish(1), after,   3,   2,   4,   1,   1
    2780.510,   225,Finish(2),before,   2,   2,   4,   1,   1
    2780.510,   225,Finish(2), after,   3,   2,   3,   1,   1
    2780.510,   227,Finish(1),before,   2,   2,   3,   1,   1
    2780.510,   227,Finish(1), after,   3,   1,   4,   1,   1
    2794.420,   230,Finish(2),before,   2,   1,   4,   1,   1
    2794.420,   230,Finish(2), after,   3,   1,   3,   1,   1
    2806.528,   234,Finish(2),before,   2,   1,   3,   1,   1
    2806.528,   234,Finish(2), after,   3,   1,   2,   1,   1
    2809.786,   232,Finish(1),before,   2,   1,   2,   1,   1
    2809.786,   232,Finish(1), after,   3,   0,   3,   1,   1
    2829.967,   238,Finish(1),before,   2,   0,   3,   1,   1
    2829.967,   238,Finish(1), after,   2,   0,   4,   0,   1
    2853.801,   236,Finish(2),before,   1,   0,   4,   0,   1
    2853.801,   236,Finish(2), after,   2,   0,   3,   0,   1
    2925.305,   213,  Arrival,before,   1,   0,   3,   0,   1
    2925.305,   213,  Arrival, after,   3,   0,   3,   1,   1
    2959.162,   243,Finish(1),before,   2,   0,   3,   1,   1
    2959.162,   243,Finish(1), after,   2,   0,   4,   0,   1
    2964.381,   241,Finish(2),before,   1,   0,   4,   0,   1
    2964.381,   241,Finish(2), after,   2,   0,   3,   0,   1
    2971.159,   242,  Arrival,before,   1,   0,   3,   0,   1
    2971.159,   242,  Arrival, after,   3,   0,   3,   1,   1
    2972.867,   246,Finish(2),before,   2,   0,   3,   1,   1
    2972.867,   246,Finish(2), after,   3,   0,   2,   1,   1
    2975.687,   247,  Arrival,before,   2,   0,   2,   1,   1
    2975.687,   247,  Arrival, after,   3,   1,   2,   1,   1
    2985.637,   248,Finish(1),before,   2,   1,   2,   1,   1
    2985.637,   248,Finish(1), after,   3,   0,   3,   1,   1
    3007.423,   253,Finish(1),before,   2,   0,   3,   1,   1
    3007.423,   253,Finish(1), after,   2,   0,   4,   0,   1
    3023.235,   250,Finish(2),before,   1,   0,   4,   0,   1
    3023.235,   250,Finish(2), after,   2,   0,   3,   0,   1
    3024.122,   256,Finish(2),before,   1,   0,   3,   0,   1
    3024.122,   256,Finish(2), after,   2,   0,   2,   0,   1
    3078.760,   258,Finish(2),before,   1,   0,   2,   0,   1
    3078.760,   258,Finish(2), after,   2,   0,   1,   0,   1
    3274.344,   260,Finish(2),before,   1,   0,   1,   0,   1
    3274.344,   260,Finish(2), after,   2,   0,   0,   0,   1
    3282.782,   251,  Arrival,before,   1,   0,   0,   0,   1
    3282.782,   251,  Arrival, after,   3,   0,   0,   1,   1
    3295.635,   264,Finish(1),before,   2,   0,   0,   1,   1
    3295.635,   264,Finish(1), after,   2,   0,   1,   0,   1
    3300.960,   263,  Arrival,before,   1,   0,   1,   0,   1
    3300.960,   263,  Arrival, after,   3,   0,   1,   1,   1
    3322.723,   267,Finish(1),before,   2,   0,   1,   1,   1
    3322.723,   267,Finish(1), after,   2,   0,   2,   0,   1
    3372.297,   262,Finish(2),before,   1,   0,   2,   0,   1
    3372.297,   262,Finish(2), after,   2,   0,   1,   0,   1
    3471.460,   266,  Arrival,before,   1,   0,   1,   0,   1
    3471.460,   266,  Arrival, after,   3,   0,   1,   1,   1
    3488.071,   270,Finish(2),before,   2,   0,   1,   1,   1
    3488.071,   270,Finish(2), after,   3,   0,   0,   1,   1
    3491.627,   271,  Arrival,before,   2,   0,   0,   1,   1
    3491.627,   271,  Arrival, after,   3,   1,   0,   1,   1
    3495.404,   272,Finish(1),before,   2,   1,   0,   1,   1
    3495.404,   272,Finish(1), after,   3,   0,   1,   1,   1
    3506.620,   274,Finish(2),before,   2,   0,   1,   1,   1
    3506.620,   274,Finish(2), after,   3,   0,   0,   1,   1
    3510.437,   275,  Arrival,before,   2,   0,   0,   1,   1
    3510.437,   275,  Arrival, after,   3,   1,   0,   1,   1
    3517.616,   277,Finish(1),before,   2,   1,   0,   1,   1
    3517.616,   277,Finish(1), after,   3,   0,   1,   1,   1
    3545.067,   282,Finish(1),before,   2,   0,   1,   1,   1
    3545.067,   282,Finish(1), after,   2,   0,   2,   0,   1
    3554.437,   279,Finish(2),before,   1,   0,   2,   0,   1
    3554.437,   279,Finish(2), after,   2,   0,   1,   0,   1
    3570.751,   280,  Arrival,before,   1,   0,   1,   0,   1
    3570.751,   280,  Arrival, after,   3,   0,   1,   1,   1
    3591.542,   287,Finish(1),before,   2,   0,   1,   1,   1
    3591.542,   287,Finish(1), after,   2,   0,   2,   0,   1
    3622.304,   285,Finish(2),before,   1,   0,   2,   0,   1
    3622.304,   285,Finish(2), after,   2,   0,   1,   0,   1
    3667.978,   290,Finish(2),before,   1,   0,   1,   0,   1
    3667.978,   290,Finish(2), after,   2,   0,   0,   0,   1
    3699.889,   292,Finish(2),before,   1,   0,   0,   0,   1
    3699.889,   292,Finish(2), after,   1,   0,   0,   0,   0
    3754.390,   286,  Arrival,before,   0,   0,   0,   0,   0
    3754.390,   286,  Arrival, after,   2,   0,   0,   1,   0
    3772.784,   294,  Arrival,before,   1,   0,   0,   1,   0
    3772.784,   294,  Arrival, after,   2,   1,   0,   1,   0
    3773.338,   295,Finish(1),before,   1,   1,   0,   1,   0
    3773.338,   295,Finish(1), after,   3,   0,   0,   1,   1
    3793.687,   298,Finish(1),before,   2,   0,   0,   1,   1
    3793.687,   298,Finish(1), after,   2,   0,   1,   0,   1
    3799.643,   296,  Arrival,before,   1,   0,   1,   0,   1
    3799.643,   296,  Arrival, after,   3,   0,   1,   1,   1
    3827.400,   302,Finish(1),before,   2,   0,   1,   1,   1
    3827.400,   302,Finish(1), after,   2,   0,   2,   0,   1
    3835.511,   299,Finish(2),before,   1,   0,   2,   0,   1
    3835.511,   299,Finish(2), after,   2,   0,   1,   0,   1
    3835.543,   305,Finish(2),before,   1,   0,   1,   0,   1
    3835.543,   305,Finish(2), after,   2,   0,   0,   0,   1
    3864.439,   301,  Arrival,before,   1,   0,   0,   0,   1
    3864.439,   301,  Arrival, after,   3,   0,   0,   1,   1
    3865.243,   307,Finish(2),before,   2,   0,   0,   1,   1
    3865.243,   307,Finish(2), after,   2,   0,   0,   1,   0
    3892.086,   309,Finish(1),before,   1,   0,   0,   1,   0
    3892.086,   309,Finish(1), after,   2,   0,   0,   0,   1
    3894.331,   308,  Arrival,before,   1,   0,   0,   0,   1
    3894.331,   308,  Arrival, after,   3,   0,   0,   1,   1
    3896.228,   313,  Arrival,before,   2,   0,   0,   1,   1
    3896.228,   313,  Arrival, after,   3,   1,   0,   1,   1
    3910.705,   314,Finish(1),before,   2,   1,   0,   1,   1
    3910.705,   314,Finish(1), after,   3,   0,   1,   1,   1
    3948.686,   317,Finish(1),before,   2,   0,   1,   1,   1
    3948.686,   317,Finish(1), after,   2,   0,   2,   0,   1
    3986.552,   315,  Arrival,before,   1,   0,   2,   0,   1
    3986.552,   315,  Arrival, after,   3,   0,   2,   1,   1
    4001.227,   320,Finish(1),before,   2,   0,   2,   1,   1
    4001.227,   320,Finish(1), after,   2,   0,   3,   0,   1
    4067.366,   319,  Arrival,before,   1,   0,   3,   0,   1
    4067.366,   319,  Arrival, after,   3,   0,   3,   1,   1
    4096.559,   323,Finish(1),before,   2,   0,   3,   1,   1
    4096.559,   323,Finish(1), after,   2,   0,   4,   0,   1
    4120.180,   322,  Arrival,before,   1,   0,   4,   0,   1
    4120.180,   322,  Arrival, after,   3,   0,   4,   1,   1
    4152.139,   326,Finish(1),before,   2,   0,   4,   1,   1
    4152.139,   326,Finish(1), after,   3,   0,   4,   1,   1
    4159.788,   312,Finish(2),before,   2,   0,   4,   1,   1
    4159.788,   312,Finish(2), after,   3,   0,   3,   1,   1
    4159.788,   326,Finish(1),before,   2,   0,   3,   1,   1
    4159.788,   326,Finish(1), after,   2,   0,   4,   0,   1
    4203.185,   329,Finish(2),before,   1,   0,   4,   0,   1
    4203.185,   329,Finish(2), after,   2,   0,   3,   0,   1
    4219.862,   332,Finish(2),before,   1,   0,   3,   0,   1
    4219.862,   332,Finish(2), after,   2,   0,   2,   0,   1
    4223.269,   334,Finish(2),before,   1,   0,   2,   0,   1
    4223.269,   334,Finish(2), after,   2,   0,   1,   0,   1
    4233.261,   325,  Arrival,before,   1,   0,   1,   0,   1
    4233.261,   325,  Arrival, after,   3,   0,   1,   1,   1
    4245.788,   337,  Arrival,before,   2,   0,   1,   1,   1
